x,y,angolo,ascissa curvilinea,# cicli 100hz
0.5,-0.3,0.3,0.0,10.0
0.5,-0.3,0.3,0.0,11.0
0.5,-0.3,0.3,0.0,21.0
0.4971216028512389,-0.3008176626776878,0.2535553070212766,0.002992280468218103,31.0
0.4934824346192588,-0.3016481259581401,0.19516365808510638,0.006725002622468673,41.0
0.4890824341346385,-0.302390325051002,0.13905334957446808,0.01118716171399644,51.0
0.48504264176852313,-0.30286502616356364,0.0948864893617021,0.01525474865315227,61.0
0.4805211428865485,-0.3032060564007711,0.05567674634042549,0.019789090255015487,71.0
0.47603602352514024,-0.3033768815743066,0.02046064506382974,0.02427746155494075,81.0
0.4711212141950211,-0.30338526840343244,-0.01704776760638304,0.02919227804086662,91.0
0.4667355011928235,-0.3032659159277742,-0.03736665696808517,0.033579614767297726,101.0
0.461908883030546,-0.3030677479893129,-0.044701861223404325,0.03841029933744519,111.0
0.4577886625610021,-0.3028437516074526,-0.06392149770212774,0.04253660411251152,121.0
0.45369289275035485,-0.3025382238145518,-0.08499457080851072,0.04664375368052632,131.0
0.4490034081087005,-0.30213441086249165,-0.08680225165957456,0.05135059243966856,141.0
0.44466750923615533,-0.301722067927085,-0.10282697080851073,0.055706054037400546,151.0
0.4403048195946746,-0.30123811706594394,-0.11812861761702137,0.06009550381429542,161.0
0.4357998956289841,-0.30066772808824516,-0.13376018357446817,0.06463639398281228,171.0
0.42699969098009977,-0.2992881595415158,-0.17723966442553202,0.07354407669142791,191.0
0.4226170565132467,-0.29847339515654525,-0.19037841761702137,0.07800180322779875,201.0
0.418597967787121,-0.29767259548647035,-0.20296838762765967,0.08209989477143988,211.0
0.4138420202140873,-0.29661592373809526,-0.23428715596808522,0.0869718135414174,221.0
0.4094807335417969,-0.2954909674877816,-0.27059047087234056,0.09147585039772944,231.0
0.40518746906770675,-0.29422588444107634,-0.30252335593617036,0.09595162462790972,241.0
0.40076282654049644,-0.29277983887262476,-0.3292243583191491,0.1006065692333413,251.0
0.39648781965610275,-0.2912409346870015,-0.36184609358510655,0.1051501262049377,261.0
0.39193892178005557,-0.2894420348159333,-0.39132407210638315,0.11004180410038787,271.0
0.38373540970412273,-0.2857646283136314,-0.4515082625957449,0.11903185020500535,291.0
0.3795598774370892,-0.2836696086173757,-0.4785644777446811,0.12370348559753522,301.0
0.3754385088909119,-0.2814476192400505,-0.5103679108297875,0.12838567690998343,311.0
0.37146539674572804,-0.2791549325331715,-0.5363800630106386,0.13297283642913113,321.0
0.36750182970239353,-0.2767428363285978,-0.5570099013085109,0.13761267175025257,331.0
0.36382658154747716,-0.2744073032536525,-0.5751848672659577,0.14196722841475698,341.0
0.35981434052905864,-0.27175532020876,-0.5929160927978726,0.1467767078107288,351.0
0.35609974409291856,-0.269204144660799,-0.6107042289680854,0.1512830059988094,361.0
0.35225587097894834,-0.2664572193333165,-0.6302431353510641,0.15600751224508191,371.0
0.3488176262405535,-0.2639049910682351,-0.6468737991808514,0.16028949729855654,381.0
0.3450814033653028,-0.26107033572989685,-0.6512122332234046,0.1649793408205428,391.0
0.34157312508234383,-0.2583572995918652,-0.6653121438617025,0.16941426828296507,401.0
0.33803155635743243,-0.25551485341687363,-0.6873306542978727,0.17395543655676807,411.0
0.33472802889461156,-0.25275806373733095,-0.7035207340851067,0.17825813141404584,421.0
0.33160868644997205,-0.25007870594347087,-0.7158129638723408,0.18237021792510666,431.0
0.32795269705110647,-0.2468708989340194,-0.7245753425957451,0.18723399056519824,441.0
0.32422963925086346,-0.2435160550524202,-0.7422686277021281,0.19224559079405268,451.0
0.32077245826965717,-0.24029376721483506,-0.7582237894042557,0.1969716080649758,461.0
0.3174902651662682,-0.23716155888003884,-0.7658160489787238,0.20150851456836563,471.0
0.3144015570978456,-0.2341958046968137,-0.7643699042978728,0.20579054859523374,481.0
0.3110793186118895,-0.23098265089355402,-0.7730467723829791,0.2104124124964072,491.0
0.3076849045212516,-0.22762144845430154,-0.7879173255744685,0.21518941248137244,501.0
0.30437654735578556,-0.22427346056764705,-0.794786512808511,0.21989624262739169,511.0
0.3012741422733816,-0.22110423674119506,-0.7973172660000003,0.22433120564386397,521.0
0.2980707366283346,-0.21778856181686512,-0.807918942595745,0.22894157525275102,531.0
0.29505401722636027,-0.21460757926357524,-0.8158727383404258,0.2333255512967758,541.0
0.29176965741946764,-0.2110951165754684,-0.8220188532340429,0.23813433632799463,551.0
0.2888061169470675,-0.2079107873822665,-0.8205727085531919,0.24248433914893988,561.0
0.2857244212698358,-0.20460429746597658,-0.8205727085531919,0.2470042643489399,571.0
0.2827753262595468,-0.20142974137392358,-0.8238265340851068,0.2513372734374721,581.0
0.27963513673152185,-0.19803843341496896,-0.8238265340851068,0.2559591518374721,591.0
0.2763641007371846,-0.19449040777637433,-0.8281649681276599,0.26078493285284926,601.0
0.27308919512249746,-0.1908742841899829,-0.8415830532340429,0.2656635962535325,611.0
0.27002787303048414,-0.1874343341879832,-0.8455599511063834,0.2702684794189675,621.0
0.26691661226171515,-0.1839024333079055,-0.8517060660000004,0.2749753114106552,631.0
0.26409245319450797,-0.1806611802709652,-0.8564060362127663,0.27927433405381064,641.0
0.26121573988199803,-0.17733054696928482,-0.8603829340851068,0.2836753109536176,651.0
0.2581415864434175,-0.17374388538567154,-0.8639982957872344,0.2883991399809326,661.0
0.2553330853093389,-0.1704442961474206,-0.8672521213191493,0.2927321490694647,671.0
0.2523004542872686,-0.16688920551273748,-0.8618290787659578,0.2974049983433911,681.0
