x,y,angolo,ascissa curvilinea,# cicli 100hz
0.37,-0.18,0.1,0.0,17.0
0.37,-0.18,0.1,0.0,13.0
0.36982974621174186,-0.1800167694376277,0.09636004773404255,0.00017107766205614168,23.0
0.3676997242627172,-0.18021027926683897,0.08484003122340425,0.002309871611301427,33.0
0.3647609611221884,-0.18042674962161717,0.062215108840425526,0.005256596608756788,43.0
0.3613846396742957,-0.1805935770413779,0.036526586287234035,0.008637037098912552,53.0
0.3580568337628958,-0.18069346374988543,0.023486966074468076,0.011966341761824064,63.0
0.35454917101916017,-0.18075331849166495,0.010637713329787218,0.015474515148916642,73.0
0.35102118293880397,-0.18077275425961956,0.00038022147872338735,0.01900255676491431,83.0
0.34718232623374345,-0.18075195430491137,-0.011216651574468106,0.022841469819426474,93.0
0.3436112193084636,-0.1807094281751914,-0.012599000308510667,0.02641282994457356,103.0
0.34004319207491057,-0.18066060163878775,-0.014768217329787264,0.029981191244951275,113.0
0.33672327444557065,-0.18059561074209785,-0.024378896468085137,0.03330174494610633,123.0
0.3336073262470257,-0.18052315646595327,-0.022118167893617056,0.036418535410373556,133.0
0.33026129924167413,-0.18044219859931365,-0.02626283694680855,0.039765541669213374,143.0
0.3271635676916749,-0.1803508958544647,-0.03266823457446812,0.04286461845869081,153.0
0.3237243560379157,-0.18022141215619417,-0.04259469410638302,0.046306266730590566,163.0
0.32045112888449356,-0.18008252343912207,-0.042217906010638344,0.04958243920371069,173.0
0.31696248404108496,-0.17991590679564876,-0.05322897405319153,0.053075060561562665,183.0
0.3135491388531735,-0.17970881967161026,-0.06796216727659579,0.05649468195124617,193.0
0.31009754388368743,-0.17944235230989888,-0.08613462838297878,0.059956547443757224,203.0
0.3065147228165504,-0.17907806143794017,-0.11652312114893623,0.06355784091118159,213.0
0.30268496742913714,-0.17855068034739446,-0.15716795527659583,0.06742373759139512,223.0
0.29925875914399824,-0.1779534070223068,-0.18801309689361712,0.07090161605937179,233.0
0.2956545916608255,-0.17719882837352327,-0.2247505905957448,0.0745839267719488,243.0
0.29245235842084033,-0.17642514460069056,-0.24937828280851074,0.07787829838177225,253.0
0.2890384386919465,-0.1755056173845663,-0.27682692987234053,0.08141388577519412,263.0
0.28573008949372564,-0.17452097890722512,-0.3017210455744682,0.08486565160566835,273.0
0.2824865216622001,-0.17346164641490072,-0.3296263414893618,0.08827782358360284,283.0
0.27933103640020146,-0.1723405962578217,-0.3530980906808512,0.09162653090037115,293.0
0.27610582276966905,-0.1711075362295994,-0.37724535587234054,0.0950794195455162,303.0
0.2729052112298107,-0.16980003835427382,-0.3984052190212767,0.09853679787642755,313.0
0.2696992095116947,-0.168411943628221,-0.4187944534893618,0.1020303997405584,323.0
0.26649180467686695,-0.16694348055258487,-0.43990676029787246,0.10555798100524715,333.0
0.26319565031433806,-0.16535505262671663,-0.45822481137234056,0.10921690664774063,343.0
0.2600357663767303,-0.16376241446421388,-0.4754887577872342,0.11275546042235131,353.0
0.25694931720310754,-0.1621400572416222,-0.492406419957447,0.11624232311810692,363.0
0.2538083661785384,-0.16041593654816755,-0.5116159332340428,0.11982536170348951,373.0
0.250512706941293,-0.1585273252045441,-0.5291346523404258,0.12362381173150147,383.0
0.24754242510925406,-0.1567624617840465,-0.5431142693723406,0.1270788539967641,393.0
0.24448526091083364,-0.15488001535771703,-0.5607245000319151,0.13066909876336485,403.0
0.24153285791202436,-0.15299180164892096,-0.5772653741063832,0.13417367212933445,413.0
0.23862327872768005,-0.1510662801426936,-0.5919680634787237,0.13766269550284654,423.0
0.23557440282599965,-0.1489787255372376,-0.608794214095745,0.14135776363410044,433.0
0.23276485009451509,-0.14699466150176863,-0.6209356464255322,0.14479725438824323,443.0
0.2299622075849589,-0.14496799401308735,-0.6312236421276599,0.14825589373718512,453.0
0.22698369457456813,-0.14276907688714005,-0.6406665500851068,0.15195816010791688,463.0
0.22393255069372886,-0.1404674229573581,-0.6519018869680855,0.15578008237217916,473.0
0.22108264719262988,-0.138270874225009,-0.661390550702128,0.15937824527832456,483.0
0.2183615553121714,-0.13613363478020793,-0.6702018978723409,0.16283832236797308,493.0
0.21570074860889785,-0.13400471601993727,-0.6794052850638302,0.16624598834339055,503.0
0.21313241662142857,-0.1319200844503594,-0.6842244824361706,0.16955386046587934,513.0
0.2102858486313224,-0.12957837503055683,-0.6925675299574472,0.17323985454198543,523.0
0.20747862543274453,-0.12722153170847636,-0.7042406626382982,0.17690526209524182,533.0
0.20478497473726903,-0.12491354593584095,-0.7126447178617025,0.18045245146091193,543.0
0.2021244554895135,-0.12261036463810415,-0.7144191066170216,0.18397140112777594,553.0
0.19946663381849974,-0.12030297684459881,-0.7154551711063832,0.18749106793935452,563.0
0.19646557585413535,-0.1176653463346475,-0.7266142483617024,0.19148649577783453,573.0
0.19373090725439504,-0.11520139707523416,-0.7401255657446811,0.1951674546615181,583.0
0.19104572331402406,-0.11274381337805753,-0.7422157348936174,0.1988075000489075,593.0
0.18816421566313338,-0.11007512648638047,-0.7519286674680854,0.20273496437948396,603.0
0.18568420870897775,-0.1077524175781391,-0.7533872758297875,0.20613281828527275,613.0
0.18297664845977732,-0.10519727862469076,-0.7595000986276599,0.2098556690175046,623.0
0.18033643032861923,-0.10267305900900056,-0.7663817495425534,0.21350839901687918,633.0
0.17793705069622365,-0.10036498345241997,-0.765628173351064,0.21683769855210272,643.0
0.1751758484180948,-0.09769175343875562,-0.7727951008085109,0.22068092593630728,653.0
0.17234416757703183,-0.09490044645671934,-0.7836411859148938,0.22465708124685635,663.0
